metric,population,run,value_ms
membership_proof_gen_ms,1000,109,0.901531
membership_proof_gen_ms,1000,110,0.902908
membership_proof_gen_ms,1000,111,0.892123
membership_proof_gen_ms,1000,112,0.874397
membership_proof_gen_ms,1000,113,0.874388
membership_proof_gen_ms,1000,114,0.909637
membership_proof_gen_ms,1000,115,0.877199
membership_proof_gen_ms,1000,116,0.892922
membership_proof_gen_ms,1000,117,0.912877
membership_proof_gen_ms,1000,118,0.905250
membership_proof_gen_ms,1000,119,0.863460
membership_proof_gen_ms,1000,120,0.880695
membership_proof_gen_ms,1000,121,0.878492
membership_proof_gen_ms,1000,122,0.905701
membership_proof_gen_ms,1000,123,0.912286
membership_proof_gen_ms,1000,124,0.909740
membership_proof_gen_ms,1000,125,0.884452
membership_proof_gen_ms,1000,126,0.876693
membership_proof_gen_ms,1000,127,0.909276
membership_proof_gen_ms,1000,128,0.864660
membership_proof_gen_ms,1000,129,0.878216
membership_proof_gen_ms,1000,130,0.886003
membership_proof_gen_ms,1000,131,1.042725
membership_proof_gen_ms,1000,132,1.326577
membership_proof_gen_ms,1000,133,0.872502
membership_proof_gen_ms,1000,134,0.895871
membership_proof_gen_ms,1000,135,0.890559
membership_proof_gen_ms,1000,136,0.974387
membership_proof_gen_ms,1000,137,0.916089
membership_proof_gen_ms,1000,138,0.882191
membership_proof_gen_ms,1000,139,0.881209
membership_proof_gen_ms,1000,140,0.907345
membership_proof_gen_ms,1000,141,0.893692
membership_proof_gen_ms,1000,142,0.891392
membership_proof_gen_ms,1000,143,0.858364
membership_proof_gen_ms,1000,144,0.948585
membership_proof_gen_ms,1000,145,0.883046
membership_proof_gen_ms,1000,146,0.891632
membership_proof_gen_ms,1000,147,0.877056
membership_proof_gen_ms,1000,148,0.880428
membership_proof_gen_ms,1000,149,0.907195
membership_proof_gen_ms,1000,150,0.913725
membership_proof_gen_ms,1000,151,0.906372
membership_proof_gen_ms,1000,152,0.928042
membership_proof_gen_ms,1000,153,1.027982
membership_proof_gen_ms,1000,154,0.896169
membership_proof_gen_ms,1000,155,0.868886
membership_proof_gen_ms,1000,156,0.873283
membership_proof_gen_ms,1000,157,0.934224
membership_proof_gen_ms,1000,158,0.911679
membership_proof_gen_ms,1000,159,0.882199
membership_proof_gen_ms,1000,160,0.887605
membership_proof_gen_ms,1000,161,0.880788
membership_proof_gen_ms,1000,162,0.903584
membership_proof_gen_ms,1000,163,0.883169
membership_proof_gen_ms,1000,164,0.886542
membership_proof_gen_ms,1000,165,0.876172
membership_proof_gen_ms,1000,166,0.893235
membership_proof_gen_ms,1000,167,0.894715
membership_proof_gen_ms,1000,168,0.901474
membership_proof_gen_ms,1000,169,0.877008
membership_proof_gen_ms,1000,170,0.903407
membership_proof_gen_ms,1000,171,0.932484
membership_proof_gen_ms,1000,172,0.880102
membership_proof_gen_ms,1000,173,0.859904
membership_proof_gen_ms,1000,174,0.874229
membership_proof_gen_ms,1000,175,0.869068
membership_proof_gen_ms,1000,176,0.892469
membership_proof_gen_ms,1000,177,0.878144
membership_proof_gen_ms,1000,178,0.913021
membership_proof_gen_ms,1000,179,0.879842
